BioMass
5730
25277.5
3225.5
4830
9400
1700
46350
2337.5
1825
429.75
1909
32130
31064
8105
226080
212.5
4600
5982.5
10295
847.5
4717.5
3045
3812.5
4202.5
3265
4750
17307.5
375
957.5
6292.5
2417.5
3402.5
16597.5
427.5
1542.5
6102.5
10110
35095
670
19167.5
17575
41040
14240
1482.5
1990
1837.5
11930
21642.5
2652.5
1947.5
17393.41333
12715
1570
6855
2622.5
390
88842.5
1814.25
833.75
25300
6090
3360
23530
977.5
23442.5
1322.5
6470
4192.5
535
1057.5
1810
11575
488.25
8065
2827.5
11537.5
19722.5
13557.5
578.75
8550
9272.5
6407.5
6088
74250
9237.5
30755
2365
3130
757
93530
37970
2365
2677.5
1820
2045
2152.5
4242.5
800
1580
977.5
18652.5
11880
6190
9272.5
22615
49160
17302.5
6537.5
2210
1150
22122.5
560
452.5
19885
34512.5
5890
3902.5
545
6590
505
8652.5
8410
472.5
53680
10577
191255
2465
322.5
46337.5
1530
2878.75
5743
12877
1932.5
1445
19490
1950
635
4160.5
19302.5
1365
66082.5
7241
6465
1797.5
3310
192460
7812.5
8597.5
36160
7547.5
3060.5
13492.5
2137.5
670
71650
3202.5
4725
215
942.5
3042.5
2430
4332.5
5962.5
2592.5
4935
15745
6157.5
6485
3342.5
2542.5
3680.5
4168.5
1425
3865
34995
39005
4580
717.5
9215
1057.5
850
11082.5
4231.5
10357.5
19997.5
17070
33777.5
3462.2
6132.5
18035
4495
6312.5
7897.5
16400
2130
1992.5
5975
3880
4155
7467.5
7490
25320
9685
7867.5
15312.5
1580
90262.5
1995
717.5
11300
3905
91222.5
40510
4457.5
11980
8395
8217.5
4700
5187.5
61737.5
362.5
6057.5
8022.5
3585
3052.5
3350
6605
3002.5
4722.5
2020
1650
2757.5
8937.5
2297.5
4410
5807.5
159685
950
3450
1847.75
20265
2347.5
142.5
6025
10427.5
5000
2745
9180
732560
37520
3437.5
2517.5
767.5
3212.5
320
8747.5
2691.25
12620
87.5
11410
11827.5
12785
12100
1610
18267.5
5790
25172.5
20525
7930
10415
30597.5
21592.5
3305
2870
1005
10612.5
1122.5
2372.5
12455
2682.5
2347.5
34005
28047.5
18217.5
42.5
159740
6481.5
3880
18236.25
47367.5
4772.5
4507.5
14035
975
30207.5
60270
16992.5
4375
8212.5
200
13960
12692.5
4512.5
21830
1232.5
5982.5
1005
1797.5
1297.5
2812.5
13540
9880
55461
49715
22945
9567.5
2490
3297.5
2242.5
21322.5
5635
3720
2882.5
24662.5
7205
55092.5
247.5
2265
7737.5
1197.5
5807.5
4655
94945
4550
192.5
4595
2582.5
3375
1042.5
6522.5
1550
762.5
14660
4240
3532.5
690
11070
3042.5
587.5
35982.5
26305
37625
6760
36722.5
870
3000
42070
8035
1990
1070
200
8847.5
6002.5
5162.5
73920
51267.5
3907.5
11632.5
26660
52147.5
44597.5
4377.5
65050
54800
1437.5
60437.5
24312.5
7437.5
767.5
37532.5
15360
1337.5
2582.5
1515
15107.5
2415
2975
7462.5
8947.5
6227.5
2360
100
13940
20395
183775
38232.5
3545.5
1686.5
4772.5
5932.5
5185
307670
27442.5
15805
157.5
4985
10970
1332.5
10520
145417.5
3597.5
8302.5
86785
26775
20810
6687.5
4827
4515
10857.5
8407.5
1175
10437.5
30905
3312.5
1042.5
26415
186195
4122.5
2580
10927.5
2637.5
1141
857.5
6527.5
35462.5
94742.5
932.5
577.5
599
4980
3727.5
875
56210
12355
2745
11157.5
5000
5492.5
71265
3395
5487.5
7250
12000
23575
5417.5
170302.5
7710
9680.5
7067.5
2147.5
2190
3242.5
3272.5
11930
780
3365
14947.5
265450
25332.5
83737.5
905
2892
4013.5
2092.5
10682
33890
3815
147945
1490
50
1325
6492.5
1097.5
25610
2232.5
14350
1122.5
337.5
480
7440
321.5
5780
55337.5
3215
1795
4220
7522.5
7157.5
3837.5
2970
48910
11685
17412.5
4435
255
21022.5
5065
3957.5
4547.5
1263
10667.5
92595
5840
30475
1810
702.5
11967.5
9867.5
74967.5
13582.5
31130
4168.5
5607.5
10632.5
17425
6587.5
24467.5
20802.5
23360
650
9475
5060
4480
2965
13182.5
38937.5
1512.5
312.5
2082
7400
17160
4030
4062.5
11740
31100
37487.5
9935
1005
2980
2367.5
34405
7430
3010
267.5
3040
7995
14440
7795
12660
62640
12142.5
7902.5
2890
1417.5
9372.5
2382.5
1950
33432.5
2730
9270
9322.5
22832.5
9702.5
18482.5
5885
8092.5
26470
13442.5
2215.5
1060
2337.5
3125
1725
57072.5
980
2487.5
1930.5
84705
825
1755
2915
5330
162885
123730
3721
500
8382.5
7482.5
3467.5
5972.5
3807.5
2450
1792.5
1730
18897.5
1520
7675
7007.5
28597.5
10430
1007.5
4667.5
755
816
467880
14732.5
2020
5762.5
3815
3122.5
1550
8370
20612.5
4572
4677.5
3230
2242.5
822.5
2672.5
1005
622.5
10110
7450
5192.5
5870
6947.5
6292.5
5382.5
27302.5
20185
9025
56577.5
3585
6485
35372.5
18080
17267.5
